Wall time,Step,Value
1652789463.835351,0,3.905575067619793e-05
1652789734.11432,1,7.811150135239586e-05
1652789996.448953,2,0.0001171672556665726
1652790298.311815,3,0.00015622300270479172
1652790640.556997,4,0.00019527875701896846
1652790984.972818,5,0.0002343345113331452
1652791329.97327,6,0.00027339026564732194
1652791680.635989,7,0.00031244600540958345
1652792057.871961,8,0.0003515017742756754
1652792450.701016,9,0.0003905575140379369
1652792842.146798,10,0.0004296132829040289
1652793235.553578,11,0.0004686690226662904
1652793625.858195,12,0.0005077247624285519
1652794017.810039,13,0.0004929978749714792
1652794408.906217,14,0.00047628121683374047
1652794774.672434,15,0.0004611572658177465
1652795145.29289,16,0.0004473883018363267
1652795514.800532,17,0.0004347832582425326
1652795882.290142,18,0.0004231869534123689
1652796247.389819,19,0.0004124716215301305
1652796609.943899,20,0.0004025310918223113
1652796973.733884,21,0.0003932762483600527
1652797337.002727,22,0.00038463177043013275
1652797699.345513,23,0.0003765333676710725
1652798070.358078,24,0.00036892585922032595
1652798432.531845,25,0.00036176154389977455
1652798794.380811,26,0.0003549990651663393
1652799154.990681,27,0.0003486021305434406
1652799526.43701,28,0.0003425390168558806
1652799916.295532,29,0.0003367816680110991
1652800312.448908,30,0.00033130517113022506
1652800677.667031,31,0.00032608743640594184
1652801041.639569,32,0.0003211087314411998
1652801397.405602,33,0.00031635130289942026
1652801752.449983,34,0.00031179923098534346
1652802114.737117,35,0.00030743819661438465
1652802480.085251,36,0.00030325516127049923
1652802832.875636,37,0.00029923836700618267
1652803196.584086,38,0.00029537707450799644
1652803548.433039,39,0.0002916614757850766
1652803905.976067,40,0.00028808266506530344
1652804281.079113,41,0.0002846324641723186
1652804666.354798,42,0.00028130330611020327
1652805051.262236,43,0.0002780883223749697
1652805435.882721,44,0.000274981081020087
1652805792.777906,45,0.0002719757321756333
1652806142.250869,46,0.00026906683342531323
1652806492.355039,47,0.00026624929159879684
1652806992.846625,48,0.00026351845008321106
1652807474.895981,49,0.0002608699433039874
1652807946.496495,50,0.0002582997549325228
1652808414.088131,51,0.00025580404326319695
1652808884.215207,52,0.0002533793158363551
1652809355.123527,53,0.0002510222257114947
1652809822.74948,54,0.00024872974609024823
1652810303.444044,55,0.0002464989374857396
1652810765.079089,56,0.0002443270932417363
1652811222.238775,57,0.00024221166677307338
1652811676.233633,58,0.00024015027156565338
1652812130.457862,59,0.00023814060841687024
1652812617.547072,60,0.00023618056729901582
1652813082.302736,61,0.00023426814004778862
1652813575.286458,62,0.00023240142036229372
1652814081.820483,63,0.00023057863290887326
1652814581.160303,64,0.00022879807511344552
1652815078.149403,65,0.0002270581608172506
1652815559.685165,66,0.00022535731841344386
1652816062.108281,67,0.00022369415091816336
1652816558.680927,68,0.00022206726134754717
1652817047.647429,69,0.00022047535458113998
1652817546.800126,70,0.0002189172082580626
1652818005.817241,71,0.0002173916291212663
1652818467.988337,72,0.00021589751122519374
1652818946.720607,73,0.00021443379228003323
1652819425.878545,74,0.00021299942454788834
1652819902.213102,75,0.00021159347670618445
1652820367.98097,76,0.0002102150028804317
1652820841.417074,77,0.0002088631154038012
1652821309.942814,78,0.00020753699936904013
1652821768.47844,79,0.00020623581076506525
1652822232.504953,80,0.0002049587928922847
1652822693.161941,81,0.0002037052036030218
